,PCIP01,PCIP04,PCIP05,PCIP26,PCIP52,PCIP09,PCIP10,PCIP11,PCIP46,PCIP13,PCIP15,PCIP14,PCIP23,PCIP19,PCIP16,PCIP51,PCIP54,PCIP43,PCIP22,PCIP24,PCIP25,PCIP27,PCIP47,PCIP29,PCIP30,PCIP03,PCIP31,PCIP12,PCIP38,PCIP40,PCIP48,PCIP42,PCIP44,PCIP41,PCIP45,PCIP39,PCIP49,PCIP50,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,income
2719,0.0,0.0,0.0,0.0408,0.1699,0.021,0.0,0.0298,0.0,0.0822,0.0474,0.096,0.0303,0.0028,0.0017,0.1528,0.0055,0.0579,0.0,0.0662,0.0,0.0044,0.0,0.0,0.0017,0.0072,0.0336,0.0,0.0028,0.0121,0.0,0.0298,0.0507,0.0,0.0292,0.0,0.0,0.0243,32200,32700,37200,37000,40200,179300
2720,0.0,0.0,0.0917,0.0,0.225,0.0083,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.025,0.0,0.1083,0.0,0.175,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,29400,30000,34300,31500,37000,162200
2721,0.0,0.0,0.0,0.015,0.2921,0.015,0.0,0.0,0.0,0.0637,0.0,0.0,0.0,0.0,0.0,0.2734,0.0,0.0,0.0,0.1236,0.0,0.0037,0.0,0.0,0.0,0.0,0.0599,0.0,0.0075,0.015,0.0,0.0225,0.0,0.0,0.0412,0.0674,0.0,0.0,50500,48100,49900,48800,53500,250800
2722,0.0,0.0,0.0,0.0363,0.4552,0.0121,0.0073,0.0436,0.0,0.0872,0.0,0.0,0.0048,0.0969,0.0,0.0751,0.0048,0.0,0.0,0.0218,0.0,0.0048,0.0,0.0,0.0,0.0,0.0605,0.0,0.0,0.0073,0.0,0.0266,0.0,0.0,0.0169,0.0242,0.0,0.0145,45400,47400,48800,50100,54000,245700
2725,0.0196,0.0,0.0,0.0275,0.23399999999999999,0.0301,0.0,0.1634,0.0,0.0928,0.0078,0.0131,0.0118,0.0183,0.0,0.098,0.0039,0.0601,0.0,0.0327,0.0,0.0052,0.0,0.0,0.0183,0.0,0.0458,0.0,0.0,0.0314,0.0,0.0523,0.0,0.0,0.0131,0.0,0.0,0.0209,30400,32500,34400,36100,38200,171600
2728,0.0,0.0,0.0,0.0302,0.2295,0.0679,0.0122,0.0177,0.0,0.069,0.0,0.0306,0.0188,0.0157,0.0043,0.1012,0.011000000000000001,0.0859,0.0043,0.0949,0.0,0.0031,0.0,0.0,0.0078,0.0,0.0306,0.0071,0.002,0.0114,0.0,0.0479,0.0024,0.0,0.0439,0.0,0.0,0.0506,36900,36800,40900,41600,44900,201100
2730,0.0,0.0,0.0121,0.0647,0.2385,0.0364,0.0,0.0418,0.0,0.0566,0.0,0.0,0.0283,0.0108,0.0,0.1361,0.0189,0.0337,0.0081,0.0283,0.0,0.0094,0.0,0.0,0.0054,0.0,0.066,0.0,0.0,0.0094,0.0,0.0404,0.0997,0.0,0.0323,0.0,0.0,0.0229,33200,34300,38500,37200,42200,185400
2735,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.125,0.0,0.0,30500,32800,35900,34100,38700,172000
2736,0.0627,0.0,0.0,0.0392,0.1294,0.0157,0.0,0.0157,0.0,0.0902,0.0235,0.0,0.0118,0.0471,0.0,0.2118,0.0,0.0902,0.0,0.0863,0.0,0.0118,0.0,0.0,0.0314,0.0,0.0,0.0,0.0,0.0039,0.0,0.1137,0.0,0.0,0.0157,0.0,0.0,0.0,25400,27000,28800,31200,31100,143500
2739,0.0,0.0,0.0035,0.0553,0.201,0.0133,0.0,0.0301,0.0,0.1303,0.0469,0.0007,0.0217,0.0217,0.0014,0.0882,0.0126,0.0693,0.0077,0.0581,0.0,0.0091,0.0,0.0,0.0259,0.0,0.0413,0.0,0.0,0.0042,0.0,0.0931,0.027999999999999997,0.0,0.0168,0.0,0.0,0.0196,33500,33300,36500,37200,41000,181500
2743,0.0886,0.0,0.0,0.0582,0.2133,0.0249,0.0,0.0443,0.0,0.0859,0.0,0.0,0.0139,0.0,0.0,0.1385,0.0055,0.0388,0.0,0.0526,0.0,0.0083,0.0,0.0,0.0,0.0,0.0693,0.0,0.0,0.0139,0.0,0.1053,0.0222,0.0,0.0139,0.0,0.0,0.0028,34600,32800,37800,40000,41700,186900
2745,0.0,0.0,0.0,0.0356,0.1985,0.0483,0.0,0.027999999999999997,0.0,0.0712,0.0,0.1349,0.0204,0.0433,0.0025,0.1374,0.0051,0.0,0.0025,0.0534,0.0,0.0127,0.0,0.0,0.0,0.0,0.0407,0.0,0.0,0.0076,0.0,0.0331,0.0,0.0,0.0076,0.0305,0.0,0.0865,36300,33300,36900,38200,43300,188000
2746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48600,48000,56000,54000,61900,268500
